student_id,course,grade,Country
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
34292,ENGL101,A,USA
34293,ENGL101,A,USA
34294,ENGL101,C,USA
34295,ENGL101,C,USA
34296,ENGL101,C,USA
